doc_id,doc_title,assay,endpoint,factor_type,comparison_a,comparison_b,dose_ug,p_value,effect_direction,significant,group_label,value,value_unit,value_kind,censoring,value_source,serotype,carrier,conjugation_chemistry,valency,double_dose,figure,notes,source_span,repeat_unit,repeat_unit_source,_grounded,_value_grounded,_unit_grounded,_ungrounded
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,1,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→3)-α-AATGalp-(1→4)-α-D-GalpA[2Ac:0.3;3Ac:0.3]-(1→3)-α-D-GalpA-(1→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,3,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→3)-β-D-GlcpA-(1→4)-β-D-Glcp-(1→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,4,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older","→3)-β-D-ManpNAc-(1→3)-α-L-FucpNAc-(1→3)-α-D-GalpNAc-(1→4)-α-D-Galp2,3(S)Pyr-(1→",reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,5,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→4)-β-D-Glcp-(1→4)-[α-L-PnepNAc-(1→2)-β-D-GlcpA-(1→3)]-α-L-FucpNAc-(1→3)-β-D-Sugp-(1→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,6A,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→2)-α-D-Galp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→3)-D-Rib-ol-(5→P→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,6B,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→2)-α-D-Galp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→4)-D-Rib-ol-(5→P→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,7F,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→6)-[β-D-Galp-(1→2)]-α-D-Galp-(1→3)-β-L-Rhap[2Ac]-(1→4)-β-D-Glcp-(1→3)-[α-D-GlcpNAc-(1→2)-α-L-Rhap-(1→4)]-β-D-GalpNAc-(1→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,9V,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→4)-α-D-GlcpA[2Ac:0.25;3Ac:0.55]-(1→3)-α-D-Galp-(1→3)-β-D-ManpNAc[4Ac:0.09;6Ac:1.04]-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp-(1→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,14,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→6)-[β-D-Galp-(1→4)]-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,18C,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→4)-β-D-Glcp-(1→4)-[Gro-(1→P→3)][α-D-Glcp[6Ac:0.3]-(1→2)]-β-D-Galp-(1→4)-α-D-Glcp-(1→3)-β-L-Rhap-(1→,reference table (full_structure),true,,,
fda-pcv15-approval-letter,fda-pcv15-approval-letter,na,licensed indication,serotype,,,,,,,Pneumococcal 15-valent Conjugate Vaccine,,,,,text,19A,,,,,,Named in the approved indication for adults 18 years and older.,"invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F in adults 18 years of age and older",→4)-β-D-ManpNAc-(1→4)-α-D-Glcp-(1→3)-α-L-Rhap-(1→P→,reference table (full_structure),true,,,
