doc_id,doc_title,image,figure_type,caption,axis_x,axis_y,series,label,value,value_text,unit,note
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,,IgG titre (ug/ml),Opsonic index,R2,C: opsonic index vs IgG,0.011,R2= 0.011,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,,IgG titre (ug/ml),Opsonic index,p,C: opsonic index vs IgG,0.675,p= 0.675,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,,IgG titre (ug/ml),Opsonic index,R2,D: opsonic index vs IgG1,0.351,R2= 0.351,,printed inside panel D
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,,IgG titre (ug/ml),Opsonic index,p,D: opsonic index vs IgG1,0.012,p= 0.012,,the only panel reaching significance
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,,IgG titre (ug/ml),Opsonic index,R2,E: opsonic index vs IgG2,0.0042,R2= 0.0042,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,,IgG titre (ug/ml),Opsonic index,p,E: opsonic index vs IgG2,0.792,p= 0.792,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,,IgG titre (ug/ml),Opsonic index,R2,C: opsonic index vs IgG,0.011,R2= 0.011,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,,IgG titre (ug/ml),Opsonic index,p,C: opsonic index vs IgG,0.675,p= 0.675,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,,IgG titre (ug/ml),Opsonic index,R2,D: opsonic index vs IgG1,0.351,R2= 0.351,,printed inside panel D
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,,IgG titre (ug/ml),Opsonic index,p,D: opsonic index vs IgG1,0.012,p= 0.012,,the only panel reaching significance
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,,IgG titre (ug/ml),Opsonic index,R2,E: opsonic index vs IgG2,0.0042,R2= 0.0042,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,,IgG titre (ug/ml),Opsonic index,p,E: opsonic index vs IgG2,0.792,p= 0.792,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,,IgG titre (ug/ml),Opsonic index,R2,C: opsonic index vs IgG,0.011,R2= 0.011,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,,IgG titre (ug/ml),Opsonic index,p,C: opsonic index vs IgG,0.675,p= 0.675,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,,IgG titre (ug/ml),Opsonic index,R2,D: opsonic index vs IgG1,0.351,R2= 0.351,,printed inside panel D
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,,IgG titre (ug/ml),Opsonic index,p,D: opsonic index vs IgG1,0.012,p= 0.012,,the only panel reaching significance
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,,IgG titre (ug/ml),Opsonic index,R2,E: opsonic index vs IgG2,0.0042,R2= 0.0042,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,,IgG titre (ug/ml),Opsonic index,p,E: opsonic index vs IgG2,0.792,p= 0.792,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,,IgG titre (ug/ml),Opsonic index,R2,C: opsonic index vs IgG,0.011,R2= 0.011,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,,IgG titre (ug/ml),Opsonic index,p,C: opsonic index vs IgG,0.675,p= 0.675,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,,IgG titre (ug/ml),Opsonic index,R2,D: opsonic index vs IgG1,0.351,R2= 0.351,,printed inside panel D
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,,IgG titre (ug/ml),Opsonic index,p,D: opsonic index vs IgG1,0.012,p= 0.012,,the only panel reaching significance
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,,IgG titre (ug/ml),Opsonic index,R2,E: opsonic index vs IgG2,0.0042,R2= 0.0042,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,,IgG titre (ug/ml),Opsonic index,p,E: opsonic index vs IgG2,0.792,p= 0.792,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p007.png,chart,,IgG titre (ug/ml),Opsonic index,R2,C: opsonic index vs IgG,0.011,R2= 0.011,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p007.png,chart,,IgG titre (ug/ml),Opsonic index,p,C: opsonic index vs IgG,0.675,p= 0.675,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p007.png,chart,,IgG titre (ug/ml),Opsonic index,R2,D: opsonic index vs IgG1,0.351,R2= 0.351,,printed inside panel D
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p007.png,chart,,IgG titre (ug/ml),Opsonic index,p,D: opsonic index vs IgG1,0.012,p= 0.012,,the only panel reaching significance
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p007.png,chart,,IgG titre (ug/ml),Opsonic index,R2,E: opsonic index vs IgG2,0.0042,R2= 0.0042,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p007.png,chart,,IgG titre (ug/ml),Opsonic index,p,E: opsonic index vs IgG2,0.792,p= 0.792,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p008.png,chart,,IgG titre (ug/ml),Opsonic index,R2,C: opsonic index vs IgG,0.011,R2= 0.011,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p008.png,chart,,IgG titre (ug/ml),Opsonic index,p,C: opsonic index vs IgG,0.675,p= 0.675,,printed inside panel C
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p008.png,chart,,IgG titre (ug/ml),Opsonic index,R2,D: opsonic index vs IgG1,0.351,R2= 0.351,,printed inside panel D
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p008.png,chart,,IgG titre (ug/ml),Opsonic index,p,D: opsonic index vs IgG1,0.012,p= 0.012,,the only panel reaching significance
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p008.png,chart,,IgG titre (ug/ml),Opsonic index,R2,E: opsonic index vs IgG2,0.0042,R2= 0.0042,,printed inside panel E
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p008.png,chart,,IgG titre (ug/ml),Opsonic index,p,E: opsonic index vs IgG2,0.792,p= 0.792,,printed inside panel E
