doc_id,doc_title,image,figure_type,caption,axis_x,axis_y,series,label,value,value_text,unit,note
fda-pcv15-approval-letter,fda-pcv15-approval-letter,fda-pcv15-approval-letter-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=2 s,40,,deg F,read from the curve
fda-pcv15-approval-letter,fda-pcv15-approval-letter,fda-pcv15-approval-letter-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=4 s,120,,deg F,read from the curve
fda-pcv15-approval-letter,fda-pcv15-approval-letter,fda-pcv15-approval-letter-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=6 s,217,,deg F,read from the curve
fda-pcv15-approval-letter,fda-pcv15-approval-letter,fda-pcv15-approval-letter-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=10 s,300,,deg F,curve plateau
fda-pcv15-approval-letter,fda-pcv15-approval-letter,fda-pcv15-approval-letter-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Inner surface (present method),inner surface at t=6 s,185,,deg F,read from the curve
fda-pcv15-approval-letter,fda-pcv15-approval-letter,fda-pcv15-approval-letter-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Inner surface (present method),inner surface at t=10 s,297,,deg F,converges with the outer surface
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=2 s,40,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=4 s,120,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=6 s,217,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=10 s,300,,deg F,curve plateau
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Inner surface (present method),inner surface at t=6 s,185,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p001.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Inner surface (present method),inner surface at t=10 s,297,,deg F,converges with the outer surface
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=2 s,40,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=4 s,120,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=6 s,217,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=10 s,300,,deg F,curve plateau
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Inner surface (present method),inner surface at t=6 s,185,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p003.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Inner surface (present method),inner surface at t=10 s,297,,deg F,converges with the outer surface
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=2 s,40,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=4 s,120,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=6 s,217,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=10 s,300,,deg F,curve plateau
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Inner surface (present method),inner surface at t=6 s,185,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p005.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Inner surface (present method),inner surface at t=10 s,297,,deg F,converges with the outer surface
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=2 s,40,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=4 s,120,,deg F,read from the curve
pcv13-opa-colonisation,pcv13-opa-colonisation,pcv13-opa-colonisation-p006.png,chart,FIGURE 2.-Example 2. Temperatures of 1/2-inch copper wall heated according to assigned history of h and Taw.,"Time, sec","Wall surface temperature, deg F",Outer surface (present method),outer surface at t=6 s,217,,deg F,read from the curve
