Serogroup,Danish_Type,US_Type,Structure_Status,Backbone_Normalized,Repeat_Unit_Machine,Branch_Attachment_Evidence,Notes,Reference,IUPAC_Condensed_Repeat_Unit_Verbatim
1,1,1,full_structure,→3)-α-AATGalp-(1→4)-α-D-GalpA[2Ac:0.3;3Ac:0.3]-(1→3)-α-D-GalpA-(1→,→3)-α-AATGalp-(1→4)-α-D-GalpA[2Ac:0.3;3Ac:0.3]-(1→3)-α-D-GalpA-(1→,linear,,277,"→3)-α-AATGalp-(1→4)-α-d-GalpA20.3,30.3Ac2-(1→3)-α-d-GalpA-(1→"
2,2,2,full_structure,→4)-β-D-Glcp-(1→3)-α-L-Rhap-(1→3)-α-L-Rhap-(1→3)-β-L-Rhap-(1→,→4)-β-D-Glcp-(1→3)-[α-D-GlcpA-(1→6)-α-D-Glcp-(1→2)]-α-L-Rhap-(1→3)-α-L-Rhap-(1→3)-β-L-Rhap-(1→,snfg-fig2,,31,"→4)-β-d-Glcp-(1→3)-α-l-Rhap-(1→3)-α-l-Rhap-(1→3)-β-l-Rhap-(1→
2
↑
1
α-d-GlcpA-(1→6)-α-d-Glcp"
3,3,3,full_structure,→3)-β-D-GlcpA-(1→4)-β-D-Glcp-(1→,→3)-β-D-GlcpA-(1→4)-β-D-Glcp-(1→,linear,,31,→3)-β-d-GlcpA-(1→4)-β-d-Glcp-(1→
4,4,4,full_structure,"→3)-β-D-ManpNAc-(1→3)-α-L-FucpNAc-(1→3)-α-D-GalpNAc-(1→4)-α-D-Galp2,3(S)Pyr-(1→","→3)-β-D-ManpNAc-(1→3)-α-L-FucpNAc-(1→3)-α-D-GalpNAc-(1→4)-α-D-Galp2,3(S)Pyr-(1→",linear,,278,"→3)-β-d-ManpNAc-(1→3)-α-l-FucpNAc-(1→3)-α-d-GalpNAc-(1→4)-α-d-Galp2,3(S)Pyr-(1→"
5,5,5,full_structure,→4)-β-D-Glcp-(1→4)-α-L-FucpNAc-(1→3)-β-D-Sugp-(1→,→4)-β-D-Glcp-(1→4)-[α-L-PnepNAc-(1→2)-β-D-GlcpA-(1→3)]-α-L-FucpNAc-(1→3)-β-D-Sugp-(1→,snfg-fig2,,31,"→4)-β-d-Glcp-(1→4)-α-l-FucpNAc-(1→3)-β-d-Sugp-(1→
3
↑
1
α-l-PnepNAc-(1→2)-β-d-GlcpA"
6,6A,6,full_structure,→2)-α-D-Galp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→3)-D-Rib-ol-(5→P→,→2)-α-D-Galp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→3)-D-Rib-ol-(5→P→,linear,,31,→2)-α-d-Galp-(1→3)-α-d-Glcp-(1→3)-α-l-Rhap-(1→3)-d-Rib-ol-(5→P→
6,6B,26,full_structure,→2)-α-D-Galp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→4)-D-Rib-ol-(5→P→,→2)-α-D-Galp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→4)-D-Rib-ol-(5→P→,linear,,31,→2)-α-d-Galp-(1→3)-α-d-Glcp-(1→3)-α-l-Rhap-(1→4)-d-Rib-ol-(5→P→
6,6C,6C,full_structure,→2)-α-D-Glcp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→3)-D-Rib-ol-(5→P→,→2)-α-D-Glcp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→3)-D-Rib-ol-(5→P→,linear,,"34, 35",→2)-α-d-Glcp-(1→3)-α-d-Glcp-(1→3)-α-l-Rhap-(1→3)-d-Rib-ol-(5→P→
6,6D,6D,full_structure,→2)-α-D-Glcp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→4)-D-Rib-ol-(5→P→,→2)-α-D-Glcp-(1→3)-α-D-Glcp-(1→3)-α-L-Rhap-(1→4)-D-Rib-ol-(5→P→,linear,,47,→2)-α-d-Glcp-(1→3)-α-d-Glcp-(1→3)-α-l-Rhap-(1→4)-d-Rib-ol-(5→P→
6,6Eb,NDc,none,,,,,,No information
